source,feature,value_column,group_column,groups,group_counts,f_statistic,p_value,eta_squared,eta_squared_ci_low,eta_squared_ci_high,omega_squared,df_between,df_within,healthy_mean,healthy_std,neuro_mean,neuro_std,ortho_mean,ortho_std
This work,This work,distance_healthy_plus_neuro_minus_ortho,Disease_Group,"healthy,neuro,ortho","297,627,166",9066.771503524717,0.0,0.9434459266004438,0.9369330563778916,0.9504331888497731,0.9432927939447813,2,1087,0.40314760172005853,0.42198359752823833,-0.4347492754934697,0.0962461446511875,2.422232213508652,0.19781462982869205
RF_minus_LF_FreeAcc_Magnitude,U-turn time,RF_minus_LF_FreeAcc_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08798876613843336,0.13166568540376072,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
HE_FreeAcc_Magnitude,U-turn time,HE_FreeAcc_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08824274176484093,0.13208918425945257,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
RF_Gyr_Magnitude,U-turn time,RF_Gyr_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08869165448542021,0.1313815730881421,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
RF_FreeAcc_Magnitude,U-turn time,RF_FreeAcc_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08799608986706228,0.13074688998674425,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
HE_Gyr_Magnitude,U-turn time,HE_Gyr_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08816773556505872,0.12981617272207807,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
LF_Gyr_Magnitude,U-turn time,LF_Gyr_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08872888930160493,0.1306958990485459,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
RF_minus_LF_Gyr_Magnitude,U-turn time,RF_minus_LF_Gyr_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.0888065490400316,0.13022682793562748,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
LF_FreeAcc_Magnitude,U-turn time,LF_FreeAcc_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08857525496183019,0.13180559644320428,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
LB_FreeAcc_Magnitude,U-turn time,LB_FreeAcc_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08878277110243149,0.13170478990789158,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
LB_Gyr_Magnitude,U-turn time,LB_Gyr_Magnitude_u_turn_time,Disease_Group,"healthy,neuro,ortho","297,627,166",64.58908209267572,3.124482718491691e-27,0.10621648043802911,0.08911935125856649,0.13194405854980115,0.10448607108431902,2,1087,2.11,0.5842834604557638,3.369968102073366,1.8538243001218078,2.994457831325301,1.6345747314688555
RF_minus_LF_FreeAcc_Magnitude,Gait cadence,RF_minus_LF_FreeAcc_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.0434012324632027,0.08955024134657781,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
RF_Gyr_Magnitude,Gait cadence,RF_Gyr_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04328070695303948,0.08873164819344634,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
RF_FreeAcc_Magnitude,Gait cadence,RF_FreeAcc_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04263126794634355,0.08948481959427099,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
LF_Gyr_Magnitude,Gait cadence,LF_Gyr_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.043353114626455434,0.09000813471485701,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
LB_Gyr_Magnitude,Gait cadence,LB_Gyr_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04344073340197165,0.08909549541076998,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
LF_FreeAcc_Magnitude,Gait cadence,LF_FreeAcc_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04343004706747614,0.09016724899977506,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
RF_minus_LF_Gyr_Magnitude,Gait cadence,RF_minus_LF_Gyr_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04237230175250491,0.08801669871885275,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
LB_FreeAcc_Magnitude,Gait cadence,LB_FreeAcc_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.04369052681057307,0.08720687269313916,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
HE_Gyr_Magnitude,Gait cadence,HE_Gyr_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.042913516267605985,0.08889822005586512,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
HE_FreeAcc_Magnitude,Gait cadence,HE_FreeAcc_Magnitude_gait_cadence,Disease_Group,"healthy,neuro,ortho","297,627,166",36.52368697106384,4.448366087786161e-16,0.06296930244658434,0.042919758414405845,0.08960819456641624,0.06119248493788774,2,1087,1.7928655038436414,0.15208775489173745,1.713304908968939,0.2320279752913432,1.6252552083132332,0.1820530525377138
RF_Gyr_Magnitude,Avg stride time,RF_Gyr_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.03118875894363452,0.06794810083115849,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
RF_FreeAcc_Magnitude,Avg stride time,RF_FreeAcc_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.030978757504732245,0.06799249332448229,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
RF_minus_LF_FreeAcc_Magnitude,Avg stride time,RF_minus_LF_FreeAcc_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.031011681535165547,0.06746809226138671,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
LF_Gyr_Magnitude,Avg stride time,LF_Gyr_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.03150378215199887,0.06769804128890079,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
LB_FreeAcc_Magnitude,Avg stride time,LB_FreeAcc_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.0310157478052679,0.06936807940565301,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
HE_FreeAcc_Magnitude,Avg stride time,HE_FreeAcc_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.031318102563736086,0.06874357138719182,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
LF_FreeAcc_Magnitude,Avg stride time,LF_FreeAcc_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.03131760332652523,0.06815384908760425,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
RF_minus_LF_Gyr_Magnitude,Avg stride time,RF_minus_LF_Gyr_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.031173167756622124,0.06695575719559534,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
LB_Gyr_Magnitude,Avg stride time,LB_Gyr_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.0307082463226194,0.0681101029809934,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
HE_Gyr_Magnitude,Avg stride time,HE_Gyr_Magnitude_avg_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",26.026574871827037,9.101207563818127e-12,0.04569861358565088,0.03128568314831334,0.06779840786923477,0.04390422477663296,2,1087,1.1570536846223698,0.1006859781646557,1.218693974085229,0.2197650624221721,1.2827478013584868,0.1440734366294654
RF_minus_LF_FreeAcc_Magnitude,Max stride time,RF_minus_LF_FreeAcc_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.02461006361027197,0.06478069222981218,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
HE_FreeAcc_Magnitude,Max stride time,HE_FreeAcc_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.02456872633476711,0.0650640863137139,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
RF_Gyr_Magnitude,Max stride time,RF_Gyr_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.0251725592798778,0.06454162754157569,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
RF_minus_LF_Gyr_Magnitude,Max stride time,RF_minus_LF_Gyr_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.02487363132712454,0.06537002934672956,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
LB_Gyr_Magnitude,Max stride time,LB_Gyr_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.02518763729332682,0.06394593614462016,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
RF_FreeAcc_Magnitude,Max stride time,RF_FreeAcc_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.025353889458800016,0.06414725542818028,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
LF_Gyr_Magnitude,Max stride time,LF_Gyr_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.02528976996643527,0.06459630024707604,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
LB_FreeAcc_Magnitude,Max stride time,LB_FreeAcc_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.024674593099284017,0.06413438993241621,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
LF_FreeAcc_Magnitude,Max stride time,LF_FreeAcc_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.024807812416146973,0.0639121066269028,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
HE_Gyr_Magnitude,Max stride time,HE_Gyr_Magnitude_max_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",22.574779838608727,2.4776549889436297e-10,0.03987950115891914,0.024411748747942844,0.06423841305937895,0.038079315575526254,2,1087,1.6430976430976432,0.54524154753957,1.9679585326953746,0.9930731233447336,2.2004216867469877,1.0764680475825692
HE_Gyr_Magnitude,Std stride time,HE_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.020276201160208816,0.06863397421753259,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_Gyr_Magnitude,Std stride time,RF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.0190149748005408,0.06703647833092097,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LF_Gyr_Magnitude,Std stride time,LF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019060706426105974,0.06696468940381146,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
HE_FreeAcc_Magnitude,Std stride time,HE_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019510217456792763,0.06812559007032788,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_minus_LF_FreeAcc_Magnitude,Std stride time,RF_minus_LF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01939596739915146,0.0687228126805063,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LF_FreeAcc_Magnitude,Std stride time,LF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01966857943075442,0.06831898782285345,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LB_FreeAcc_Magnitude,Std stride time,LB_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019366163263722116,0.06650767112173009,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LB_Gyr_Magnitude,Std stride time,LB_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019335250842465665,0.06840093936583355,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_minus_LF_Gyr_Magnitude,Std stride time,RF_minus_LF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01914898853004683,0.06575446989293807,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_FreeAcc_Magnitude,Std stride time,RF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019700795675706453,0.06757679587265385,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
